 row_number | game_match_uuid |         player_1_fingerprint         | player_1_action | player_1_score |         player_2_fingerprint         | player_2_action | player_2_score | player_1_cooperation_percent | player_2_cooperation_percent | avg_cooperation_percent | player_1_cumulative_score | player_2_cumulative_score | player_1_country | player_1_city | player_2_country | player_2_city |   round_start    |    round_end     | match_complete | match_completed_at 
------------+-----------------+--------------------------------------+-----------------+----------------+--------------------------------------+-----------------+----------------+------------------------------+------------------------------+-------------------------+---------------------------+---------------------------+------------------+---------------+------------------+---------------+------------------+------------------+----------------+--------------------
          1 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Cooperate       |              0 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Defect          |             30 |                            1 |                            0 |                     0.5 |                         0 |                        30 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:39 | 2025-06-24 16:39 | t              | 2025-06-24 16:42
          2 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Cooperate       |              0 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Defect          |             30 |                            1 |                            0 |                     0.5 |                         0 |                        60 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:39 | 2025-06-24 16:39 | t              | 2025-06-24 16:42
          3 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Defect          |             10 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Defect          |             10 |                         0.67 |                            0 |                    0.33 |                        10 |                        70 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:39 | 2025-06-24 16:40 | t              | 2025-06-24 16:42
          4 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Defect          |             10 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Defect          |             10 |                          0.5 |                            0 |                    0.25 |                        20 |                        80 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:40 | 2025-06-24 16:40 | t              | 2025-06-24 16:42
          5 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Cooperate       |             20 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Cooperate       |             20 |                          0.6 |                          0.2 |                     0.4 |                        40 |                       100 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:40 | 2025-06-24 16:40 | t              | 2025-06-24 16:42
          6 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Cooperate       |             20 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Cooperate       |             20 |                         0.67 |                         0.33 |                     0.5 |                        60 |                       120 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:40 | 2025-06-24 16:40 | t              | 2025-06-24 16:42
          7 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Cooperate       |              0 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Defect          |             30 |                         0.71 |                         0.29 |                     0.5 |                        60 |                       150 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:40 | 2025-06-24 16:40 | t              | 2025-06-24 16:42
          8 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Cooperate       |              0 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Defect          |             30 |                         0.75 |                         0.25 |                     0.5 |                        60 |                       180 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:40 | 2025-06-24 16:40 | t              | 2025-06-24 16:42
          9 | 4822f17c        | f55267b5-a296-45aa-a9f3-0382a144b77e | Defect          |             10 | 6ad4eed8-4a74-4aaf-9850-cff8a9bc01b4 | Defect          |             10 |                         0.67 |                         0.22 |                    0.44 |                        70 |                       190 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-24 16:40 | 2025-06-24 16:40 | t              | 2025-06-24 16:42
