 row_number | game_match_uuid |         player_1_fingerprint         | player_1_action | player_1_score |         player_2_fingerprint         | player_2_action | player_2_score | player_1_cooperation_percent | player_2_cooperation_percent | avg_cooperation_percent | player_1_cumulative_score | player_2_cumulative_score | player_1_country | player_1_city | player_2_country | player_2_city |   round_start    |    round_end     | match_complete | match_completed_at 
------------+-----------------+--------------------------------------+-----------------+----------------+--------------------------------------+-----------------+----------------+------------------------------+------------------------------+-------------------------+---------------------------+---------------------------+------------------+---------------+------------------+---------------+------------------+------------------+----------------+--------------------
          1 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |             20 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |             20 |                            1 |                            1 |                       1 |                        20 |                        20 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          2 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             10 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             10 |                          0.5 |                          0.5 |                     0.5 |                        30 |                        30 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          3 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |           0.3333333333333333 |           0.6666666666666666 |                     0.5 |                        60 |                        30 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          4 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                        60 |                        60 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          5 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |                          0.4 |                          0.6 |                     0.5 |                        90 |                        60 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          6 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                        90 |                        90 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          7 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |          0.42857142857142855 |           0.5714285714285714 |                     0.5 |                       120 |                        90 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          8 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                       120 |                       120 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
          9 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |           0.4444444444444444 |           0.5555555555555556 |                     0.5 |                       150 |                       120 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
         10 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                       150 |                       150 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
         11 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |          0.45454545454545453 |           0.5454545454545454 |                     0.5 |                       180 |                       150 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:30 | 2025-06-03 14:30 | t              | 2025-06-03 14:31
