 round_number | game_match_uuid | game_mode |       player_1_fingerprint       | player_1_ip_address | player_1_coins_to_keep | player_1_coins_to_offer | player_1_response_to_p2_offer | player_1_coins_made_in_round |       player_2_fingerprint       | player_1_ip_address | player_2_coins_to_keep | player_2_coins_to_offer | player_2_response_to_p1_offer | player_2_coins_made_in_round | players_sum_coins_in_round | players_sum_coins_total | player_1_final_score | player_2_final_score | player_1_country | player_1_city | player_2_country | player_2_city |   round_start    |    round_end     | match_complete 
--------------+-----------------+-----------+----------------------------------+---------------------+------------------------+-------------------------+-------------------------------+------------------------------+----------------------------------+---------------------+------------------------+-------------------------+-------------------------------+------------------------------+----------------------------+-------------------------+----------------------+----------------------+------------------+---------------+------------------+---------------+------------------+------------------+----------------
            1 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     30 |                      70 | accept                        |                          120 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     10 |                      90 | accept                        |                           80 |                        200 |                     200 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:30 | 2025-06-11 09:31 | t
            2 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     50 |                      50 | reject                        |                            0 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     40 |                      60 | reject                        |                            0 |                          0 |                     200 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:31 | 2025-06-11 09:31 | t
            3 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     10 |                      90 | accept                        |                           89 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     21 |                      79 | accept                        |                          111 |                        200 |                     400 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:31 | 2025-06-11 09:31 | t
            4 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     30 |                      70 | accept                        |                          120 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     10 |                      90 | accept                        |                           80 |                        200 |                     600 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:31 | 2025-06-11 09:31 | t
            5 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                    100 |                       0 | accept                        |                          100 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                    100 |                       0 | accept                        |                          100 |                        200 |                     800 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:31 | 2025-06-11 09:31 | t
            6 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     99 |                       1 | accept                        |                           99 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                    100 |                       0 | accept                        |                          101 |                        200 |                    1000 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:31 | 2025-06-11 09:32 | t
            7 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     95 |                       5 | accept                        |                          101 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     94 |                       6 | accept                        |                           99 |                        200 |                    1200 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:32 | 2025-06-11 09:32 | t
            8 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     93 |                       7 | accept                        |                           99 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     94 |                       6 | accept                        |                          101 |                        200 |                    1400 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:32 | 2025-06-11 09:32 | t
            9 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     93 |                       7 | accept                        |                          159 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     34 |                      66 | accept                        |                           41 |                        200 |                    1600 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:32 | 2025-06-11 09:32 | t
